Error Code,Error Description
13069,Review and check the Certification for Restricted Radiotelephone Operator Permit-Limited Use.
13070,You must select Operator Class.
13071,The Ship Radar Endorsement is not applicable to the Operator Class you selected.
13072,The Six Month Service Endorsement is not applicable to the Operator Class you selected.
13073,Review and check the Certification for Commercial Operator Permit.
13074,Proof of Passing Certificate is required.
13075,Licensee Type must be Individual when applying for a new GMRS license.
13076,You must enter Port of Registry.
13077,You must identify the ship licensee type.
13078,You must select a vessel type.
13079,The number of crew is required and must be greater than zero.
13080,You must select at least one requirement from which you are requesting exemption.
13081,You must indicate if the vessel will travel to a foreign port.
13082,You must select at least one reason for the exemption request.
13083,You must enter a quantity greater than zero for at least one radio equipment description.
13084,"MF, HF, or DSC must be selected if Single-Side Band equipment is being carried on board the vessel."
13085,You must enter a description of the equipment being carried on board the vessel when the quantity of Other Equipment is 1 or more.
13086,You must enter a description of the voyage.
13087,"If possible, please attach a copy of your Coast Guard Certificate of Inspection. (This is not required for filing.)"
13088,Check at least one update.
13089,You must enter licensee name.
13090,"The FAA N-Number checkbox must be checked when changing the N-Number on your Aircraft license.  If the FAA has not changed your N-Number, then you cannot change it on your FCC license."
13091,You must select a vanity eligibility category.
13092,You must enter a call sign.
13093,You must select a relationship to the deceased when file for a vanity call sign as the close relative of a former holder.
13094,You must enter at least on call sign on the vanity call sign preference list.
13095,GMRS licensees who are non-individuals cannot change entity name.
13096,You are not permitted to change the licensee type on your GMRS license.
13097,You must select a DO license for consolidation.
13098,You must select a DM license for consolidation.
13099,Number of ships in fleet must be greater than 1.
13100,A Tribal Lands Waiver attachment may only be uploaded if you have answered Yes to the Waiver question.
13101,Please specify the spectrum you wish to disaggregate for this area.
13102,This market area has already been partitioned. Please specify the counties within this area you wish to partition.
13105,There is currently a saved or submitted Amendment for this File Number.  You cannot initiate an Amendment at this time.
13110,There is currently a saved or submitted renewal application for this call sign.  You cannot initiate a second renewal application at this time.
13115,There is currently a saved or submitted cancel application for this call sign.  You cannot initiate a second cancel application at this time.
13200,An attachment with an Attachment Type of Waiver is present. Please answer the Waiver question Yes or remove the Attachment Type of Waiver.
13201,You must enter Individual First Name and Last Name.
13202,You must enter Entity Name.
13203,Fee Control Number must be at least 16 digits.
13204,You must enter Receipt Date.
13205,Receipt Date cannot be a future date.
13206,You must enter FAA N-Number.
13207,Record Type AT - action performed must be A or D
13208,Record Type LO - Coordinates are invalid when area of operation is KMRA around a Fixed Location
13209,Individuals cannot be exempt from application or regulatory fees.
13210,Please verify that Date of Birth is correct.
13211,You must be at least 21 years of age to hold a T1 permit.
13212,"You have selected to add a call sign to your filing that does not have contact information. If you proceed, any Contact Information changes you entered will be deleted."
13213,"You have selected to add a call sign to your filing that has a different entity type.  If you proceed, the Entity Name or Individual Name changes you entered will be deleted."
13214,"You have selected a license (denoted with ""^"") which has a parent station in CDBS. You must file a single Update for any license having a parent station in CDBS."
13215,"You have selected a license (denoted with ""*"") which has an international address. You must file a single Update for any license having an international address."
13216,You must change at least one item on an Update application.
13217,Record Type LO - The corresponding location must be a fixed location
13218,You must enter a description of the reason for exemption request when 'Other' is checked.
13219,You must check the 'Other' box when entering a description for the reason for exemption request.
13220,You cannot select 'DSC' if no quantity for 'VHF Radio Installation' is entered.
13221,"You cannot select 'MF', 'HF', or 'DSC' if no quantity for 'Single Side-Band' is entered."
13222,You must check the 'Other Equipment' box when entering a description of 'Other Equipment.'
13223,ULS was unable to connect to the Commission Registration System (CORES) to validate your login.  Please try again later or contact the CORES Help-Line at (877) 480-3201 or CORES@fcc.gov.
13224,Invalid User ID/Password
13225,Vanity renewal application rejected
13226,This license is no longer active.  To submit this application please provide a waiver attachment.
13227,Record Type PA - Path Number must be a positive integer greater than zero
13228,Record Type PA - Path Number must be a positive integer greater than zero
13229,Record Type PA - Path Number must be a positive integer greater than zero
13230,Record Type PA - Path Number must be a positive integer greater than zero
13231,Record Type PA - Path Number must be a positive integer greater than zero
13327,Mobiles in the 72-76 MHz Band are limited to 20 kHz bandwidth. Error Code D8
13328,Frequency is only available in Puerto Rico or the Virgin Islands.  Error Code D14
13329,Frequency is not available in Puerto Rico or the Virgin Islands.  Error Code 16
13330,Frequency is limited to 6 kHz Bandwidth.  Error Code D17
